step,altitude,x_vel,y_vib,angle,fuel,reward,thrust,gimbal,cum_reward
1,1040.8699,9.819938,-0.52708185,0.0,1000.0,62.01714,-0.113066055,0.0,62.01714
2,1031.0598,9.819938,-0.52708185,0.0,1000.0,61.526634,-0.113066055,0.0,123.54378
3,1021.2498,9.819938,-0.52708185,0.0,1000.0,61.036137,-0.113066055,0.0,184.57991
4,1011.4398,9.819938,-0.52708185,0.0,1000.0,60.545635,-0.113066055,0.0,245.12555
5,1001.6298,9.819938,-0.52708185,0.0,1000.0,60.055138,-0.113066055,0.0,305.1807
6,991.8198,9.819938,-0.52708185,0.0,1000.0,59.564636,-0.113066055,0.0,364.74533
7,982.0098,9.819938,-0.52708185,0.0,1000.0,59.074135,-0.113066055,0.0,423.81946
8,972.1998,9.819938,-0.52708185,0.0,1000.0,58.583637,-0.113066085,0.0,482.4031
9,962.38983,9.819938,-0.52708185,0.0,1000.0,58.093136,-0.113066465,0.0,540.4962
10,952.57983,9.819938,-0.52708185,0.0,1000.0,57.60264,-0.11310343,0.0,598.0989
11,942.76984,9.819938,-0.52708185,0.0,1000.0,57.112137,-0.11623315,0.0,655.211
12,932.95984,9.819938,-0.52708185,0.0,1000.0,56.621635,-0.16421008,0.0,711.83264
13,923.14984,9.819938,-0.52708185,0.0,1000.0,56.131138,-0.17313507,0.0,767.9638
14,913.33984,9.819938,-0.52708185,0.0,1000.0,55.640636,-0.17324843,0.0,823.60443
15,903.52985,9.819938,-0.52708185,0.0,1000.0,55.15014,-0.17324959,0.0,878.7546
16,893.71985,9.819938,-0.52708185,0.0,1000.0,54.659637,-0.1732439,0.0,933.4142
17,883.90985,9.819938,-0.52708185,0.0,1000.0,54.169136,-0.17295487,0.0,987.5833
18,874.09985,9.819938,-0.52708185,0.0,1000.0,53.67864,-0.16161923,0.0,1041.262
19,864.28986,9.819938,-0.52708185,0.0,1000.0,53.188137,-0.1292192,0.0,1094.4501
20,854.47986,9.819938,-0.52708185,0.0,1000.0,52.69764,-0.12688975,0.0,1147.1477
21,844.66986,9.819938,-0.52708185,0.0,1000.0,52.207138,-0.12684183,0.0,1199.3549
22,834.85986,9.819938,-0.52708185,0.0,1000.0,51.716637,-0.12684087,0.0,1251.0715
23,825.04987,9.819938,-0.52708185,0.0,1000.0,51.22614,-0.12684084,0.0,1302.2977
24,815.23987,9.819938,-0.52708185,0.0,1000.0,50.735638,-0.12684084,0.0,1353.0333
25,805.4299,9.819938,-0.52708185,0.0,1000.0,50.24514,-0.12684084,0.0,1403.2784
26,795.6199,9.819938,-0.52708185,0.0,1000.0,49.75464,-0.12684084,0.0,1453.0331
27,785.8099,9.819938,-0.52708185,0.0,1000.0,49.264137,-0.12684084,0.0,1502.2972
28,775.9999,9.819938,-0.52708185,0.0,1000.0,48.77364,-0.12684084,0.0,1551.0709
29,766.1899,9.819938,-0.52708185,0.0,1000.0,48.28314,-0.12684084,0.0,1599.354
30,756.3799,9.819938,-0.52708185,0.0,1000.0,47.79264,-0.12684084,0.0,1647.1466
31,746.5699,9.819938,-0.52708185,0.0,1000.0,47.30214,-0.12684084,0.0,1694.4487
32,736.7599,9.819938,-0.52708185,0.0,1000.0,46.811638,-0.12684084,0.0,1741.2604
33,726.9499,9.819938,-0.52708185,0.0,1000.0,46.32114,-0.12684084,0.0,1787.5815
34,717.1399,9.819938,-0.52708185,0.0,1000.0,45.83064,-0.12684084,0.0,1833.4122
35,707.3299,9.819938,-0.52708185,0.0,1000.0,45.34014,-0.12683809,0.0,1878.7523
36,697.5199,9.819938,-0.52708185,0.0,1000.0,44.84964,-0.11244476,0.0,1923.6019
